Label	Text
true	Este producto es excelente, me encantó su calidad
true	La atención fue rápida y el producto cumplió mis expectativas
false	No recomiendo este producto, llegó roto
false	Tardó mucho en llegar y no funciona
true	Muy buena experiencia, volvería a comprar
false	Es un engaño, no coincide con la descripción
true	Funciona perfectamente, justo lo que necesitaba
false	Mal servicio al cliente y mala calidad
true	La mejor compra que he hecho este año
false	Nunca más compraré aquí
true	Me encantó el empaque, muy bien cuidado
false	No vino con los accesorios que decía
true	Entrega puntual y buen trato del repartidor
false	Me llegó con una semana de retraso
true	Excelente atención por parte del vendedor
false	Todo mal, desde la compra hasta la entrega
true	Producto tal como se describe, muy satisfecho
false	Mala experiencia, el producto estaba sucio
true	Muy amables al resolver mi duda por chat
false	La caja venía aplastada y el producto roto
true	Todo perfecto, volveré a comprar sin dudar
false	No funcionó desde el primer día
true	Buena relación calidad-precio
false	Prometieron una cosa y entregaron otra
true	Increíble servicio, me sorprendieron
false	No responden mensajes ni llamadas
true	El producto llegó incluso antes de lo previsto
false	Pagué por envío rápido y llegó tarde
true	Se nota la buena calidad en cada detalle
false	No vale lo que cuesta, muy decepcionado
false	El material del producto se siente barato y de mala calidad
true	Volvería a comprar sin dudarlo, la calidad-precio es insuperable
true	La instalación fue sencilla y el producto funciona sin problemas
false	Horrible experiencia, nunca recibí mi pedido
false	El producto se rompió a la semana de usarlo, muy mala fabricación
true	Me encantó el empaque, muy bien protegido y con un toque personal
true	Respuesta rápida y eficaz por parte del servicio de atención
false	Nunca más confiaré en esta marca, su calidad ha decaído mucho
false	La descripción del producto era engañosa, no coincide con la realidad
true	Excelente relación calidad-precio, estoy gratamente sorprendido
true	El seguimiento de mi pedido fue muy preciso, siempre supe dónde estaba
false	La entrega se demoró una eternidad, llegó mucho después de lo esperado
false	Me siento frustrado, el producto es defectuoso
true	Superó mis expectativas, el producto es robusto y bien diseñado
true	El equipo de atención al cliente fue muy empático y comprensivo
false	No hay forma de contactar al servicio de atención al cliente, un desastre
false	El producto llegó incompleto, faltaban piezas esenciales
true	Estoy fascinado, es exactamente lo que necesitaba para mi trabajo
true	El proceso de pago fue seguro y rápido
true	Un regalo ideal, le encantó a mi pareja
false	Servicio de atención al cliente deficiente
true	Me ayudaron en todo momento, excelente
false	Viene con errores de fábrica
true	El color y el tamaño eran justos lo que buscaba
false	No cumple lo que promete
true	Volvería a comprar sin pensarlo
false	Muy baja calidad, parece usado
true	Todo llegó en perfecto estado, gracias
false	No recomendaría este producto a nadie
true	La instalación fue rápida y sencilla
false	El instructivo no se entiende nada
true	Muy buena experiencia de compra online
false	Cobran de más y no devuelven el dinero
true	Muy atentos en todo el proceso
false	Me cancelaron la compra sin avisar
true	Funciona de maravilla, lo uso todos los días
false	Horrible calidad, se rompió en una semana
true	El mejor servicio de entrega que he recibido
false	Esperaba algo mejor por ese precio
true	Perfecto para lo que necesitaba
false	Mal empaquetado y atención nula
true	Buena experiencia, repetiré pronto
false	No lo volvería a comprar, mala inversión
true	Me fascinó la rapidez del envío, superó mis expectativas
true	El producto es justo lo que buscaba, la calidad es inmejorable
false	El servicio de atención al cliente fue pésimo, no resolvieron nada
false	La entrega fue un desastre, el paquete llegó abierto y dañado
true	Completamente satisfecho con mi compra, todo funcionó a la perfección
true	La experiencia de compra online fue fluida y sin complicaciones
false	Este artículo no vale la pena, se ve de muy baja calidad
false	Me siento estafado, el producto no cumple con lo prometido en la publicidad
true	Increíble durabilidad, este producto superó todas mis expectativas
true	La comunicación con el vendedor fue excelente, muy atento y resolutivo
false	Demasiado caro para lo que ofrece, esperaba algo mucho mejor
false	El repartidor nunca llegó a mi domicilio y tuve que recogerlo en la oficina
true	Una joya, lo recomiendo al 100%, la inversión vale la pena
true	El equipo de soporte técnico fue muy amable y me ayudó con mi problema
false	Estoy muy decepcionado con el rendimiento, no es lo que esperaba
false	La política de devoluciones es complicada y no me permitieron cambiarlo
true	La interfaz de la página web es muy intuitiva, fácil de navegar
true	El personal de la tienda fue extremadamente útil y bien informado
false	Mi pedido se extravió y nadie pudo darme una solución
false	Una total pérdida de dinero, arrepentido de esta compra
false	El repartidor dejó el paquete en la puerta sin avisar, y se mojó
true	La calidad del sonido es impresionante, muy satisfecho
true	Resolvieron mi problema rápidamente, muy agradecido
false	El diseño es horrible, no se parece en nada a las fotos
false	La garantía es inútil, no cubre nada
true	Gran adición a mi colección, el detalle es increíble
true	El chat en línea fue de gran ayuda, respondieron todas mis dudas
false	Demasiadas complicaciones para hacer una simple devolución
false	El color del producto no era el que pedí
true	Estoy muy contento con la funcionalidad de este dispositivo
true	La mensajería fue muy eficiente y el paquete llegó en perfectas condiciones
false	El producto no duró nada, se descompuso al poco tiempo
false	El servicio de instalación fue desorganizado y poco profesional
true	Me impresionó la durabilidad de este producto, es excelente
true	La compra fue muy sencilla, sin problemas ni complicaciones
false	La publicidad es engañosa, el producto no cumple lo que promete
false	El producto es de mala calidad, no lo volvería a comprar
true	Recomendado al 100%, superó mis expectativas en todos los sentidos
true	El envío fue muy rápido y llegó en perfecto estado
false	La atención al cliente fue inexistente, no hubo respuesta
false	El paquete llegó dañado y el producto no funcionaba
true	Estoy encantado con mi nueva adquisición, es justo lo que necesitaba
true	El personal de la tienda fue muy amable y servicial
false	No volvería a comprar aquí, la experiencia fue pésima
false	El producto es defectuoso y no hay forma de reclamar
true	Muy buena calidad y precio, una excelente inversión
true	La entrega fue puntual y el repartidor muy amable
false	El producto no cumple con la descripción, es una estafa
false	El servicio de entrega fue lento y desorganizado
true	Increíble rendimiento, muy satisfecho con esta compra
true	La comunicación con el soporte técnico fue fluida y efectiva
false	Este producto es un engaño, no funciona en absoluto
false	El servicio de atención al cliente es inútil, no ayudan en nada
true	La mejor compra del año, estoy muy feliz con este producto
true	El proceso de devolución fue fácil y sin complicaciones
false	La calidad del producto es ínfima, se rompió al primer uso
false	La entrega fue un desastre, el paquete se perdió
true	Muy buena experiencia, recomendaría esta tienda a todos
true	El producto llegó antes de lo esperado, genial
false	Horrible atención, me dejaron esperando por horas
false	El producto es una basura, no sirve para nada
true	Estoy muy contento con mi compra, todo salió perfecto
true	La atención fue excepcional, me sentí valorado como cliente
false	No hay palabras para describir lo malo que es este producto
false	El envío fue un caos, nunca llegó a tiempo
true	Totalmente satisfecho, el producto superó mis expectativas
true	El servicio al cliente es de primera, siempre dispuestos a ayudar
false	Me siento timado, el producto no vale lo que cuesta
false	La empresa de mensajería es ineficiente y poco profesional
true	Lo mejor que he comprado en mucho tiempo, una verdadera maravilla
true	La asistencia técnica fue rápida y eficiente
false	El producto es una decepción, no funciona como se anuncia
false	La atención telefónica fue grosera y poco servicial
true	Sin duda volveré a comprar aquí, excelente servicio
true	El producto es perfecto, justo lo que estaba buscando
false	Pésima calidad, no duró ni un mes
false	El servicio de entrega fue horrible, mi paquete llegó roto
true	Muy buena experiencia general, desde la compra hasta la entrega
true	La empresa realmente se preocupa por sus clientes, excelente soporte
false	No compres esto, es una completa pérdida de dinero
false	La logística de envío es caótica, nunca saben dónde está el paquete
true	Estoy muy contento con la funcionalidad y el diseño del producto
true	La interacción con el personal de soporte fue muy positiva
false	El producto es defectuoso y la empresa no se hace responsable
false	Me siento ignorado por el servicio al cliente
true	Recomendaría este producto a cualquiera, es increíble
true	El proceso de compra fue muy sencillo y rápido
false	La calidad del producto es terrible, no se ajusta a lo que prometen
false	La entrega tardó demasiado y el producto no era el correcto
true	Muy satisfecho con la compra
false	El producto se descompuso al segundo uso
true	Me atendieron súper rápido y resolvieron mi duda
false	Llegó otro color al que pedí
true	Buena calidad y mejor de lo que esperaba
false	No trae lo que se muestra en la imagen
true	Empaque impecable y entrega anticipada
false	Mal trato por parte del repartidor
true	Recomiendo este vendedor por su seriedad
false	No me gustó para nada, esperaba más
true	Fácil de instalar y funciona sin problemas
false	La garantía no cubre nada
true	La calidad del producto es excelente, superó mis expectativas
true	El servicio de entrega fue increíblemente rápido y eficiente
false	Estoy muy insatisfecho con la compra, el producto llegó roto
false	La atención al cliente fue deficiente, no me dieron soluciones
true	Una experiencia de compra fantástica, lo recomiendo totalmente
true	El artículo es exactamente como se describe, muy contento
false	El servicio de mensajería fue un desastre, el paquete se perdió
false	Este producto es una estafa, no funciona en absoluto
true	Absolutamente fascinado con mi nueva adquisición, la mejor compra
true	La comunicación con el vendedor fue excepcional, muy amable
false	La calidad del material es pésima, se rompió al primer uso
false	El repartidor dejó el paquete en la calle sin mi autorización
true	Volveré a comprar en esta tienda, la experiencia fue perfecta
true	El equipo de soporte técnico resolvió mi problema al instante
false	Me siento engañado, el producto no cumple con lo prometido
false	La política de devoluciones es un laberinto, muy complicada
true	La página web es muy fácil de usar, la navegación es intuitiva
true	El personal de la tienda fue muy atento y conocedor
false	Mi pedido tardó una eternidad en llegar, estoy molesto
false	El producto se ve muy barato, no vale la pena
true	Impresionante durabilidad, este producto es una inversión
true	El proceso de instalación fue muy sencillo, sin complicaciones
false	Terrible experiencia, nunca recibí lo que pedí
false	El producto dejó de funcionar a los pocos días, mala calidad
true	El empaque era muy seguro y el producto llegó intacto
true	La respuesta del servicio de atención fue rápida y efectiva
false	Esta marca me decepcionó, no compraré más
false	La descripción del producto es engañosa, no es lo que parece
true	Excelente relación calidad-precio, una gran sorpresa
true	El seguimiento del envío fue impecable, siempre estuve informado
false	La entrega fue un calvario, muchos retrasos y problemas
false	Me siento frustrado, el producto es defectuoso desde el inicio
true	Supera cualquier expectativa, el producto es robusto y fiable
true	El personal de atención al cliente fue muy comprensivo y útil
false	Es imposible comunicarse con el servicio al cliente, un horror
false	El paquete llegó incompleto, faltaban accesorios importantes
true	Estoy absolutamente encantado, justo lo que necesitaba
true	El proceso de pago fue muy seguro y sin inconvenientes
false	Una total pérdida de dinero, me arrepiento de esta adquisición
false	El repartidor no tocó el timbre, solo dejó el paquete en el porche
true	La calidad de imagen es asombrosa, muy satisfecho
true	Mi problema fue resuelto rápidamente, muy agradecido
false	El diseño es horrible, no tiene nada que ver con la foto
false	La garantía es una broma, no cubre nada de lo esperado
true	Gran producto, añade un toque especial a mi espacio
true	El chat de ayuda en línea fue extremadamente útil y resolutivo
false	Hacer una devolución es un tormento, demasiado complicado
false	El tamaño del producto no corresponde con lo indicado
true	Estoy muy satisfecho con la performance de este aparato
true	La empresa de mensajería fue muy profesional, entrega perfecta
false	El producto se rompió en cuestión de días, muy frágil
false	El servicio de montaje fue desorganizado y poco profesional
true	Me sorprendió la resistencia de este producto, es de primera
true	La compra fue sin contratiempos, todo funcionó a la perfección
false	La publicidad es pura mentira, el producto no es así
false	El producto es de una calidad ínfima, una decepción total
true	Lo recomendaría sin dudar, es un producto excepcional
true	El envío fue rapidísimo y el paquete llegó en perfecto estado
false	No hubo atención al cliente, solo un contestador automático
false	El paquete llegó abierto y el producto estaba golpeado
true	Estoy feliz con mi compra, es exactamente lo que quería
true	El personal de la tienda fue extremadamente amable y atento
false	Nunca más haré negocios con esta empresa, la experiencia fue nefasta
false	El producto es un fraude, no funciona como se supone
true	Excelente inversión, muy buena calidad y un precio justo
true	La entrega fue puntual y el repartidor muy educado
false	El producto no se parece en nada a la descripción, un engaño
false	El servicio de entrega fue lento y muy desorganizado
true	Un rendimiento increíble, estoy muy contento con este artículo
true	La comunicación con el área de soporte fue fluida y resolutiva
false	Este producto es un timo, una completa inutilidad
false	El servicio de atención al cliente es ineficaz, no me ayudaron
true	La mejor compra de mi vida, este producto es una maravilla
true	El proceso de devolución fue muy sencillo y eficiente
false	La calidad del producto es deplorable, se desarmó al tocarlo
false	El paquete se perdió en el envío, un verdadero desastre
true	Una experiencia muy positiva, recomendaría esta plataforma
true	El producto llegó mucho antes de lo esperado, excelente
false	Atención al cliente inexistente, una pérdida de tiempo
false	El producto es una porquería, no sirve para nada útil
true	Estoy muy feliz con esta compra, todo salió a pedir de boca
true	La atención fue de primera clase, me sentí muy valorado
false	No tengo palabras para expresar lo malo que es este producto
false	El envío fue un caos, tardó semanas en llegar
true	Totalmente satisfecho, el producto superó mis expectativas
true	El servicio al cliente es inmejorable, siempre dispuestos a ayudar
false	Me siento estafado, el producto no vale lo que pagué
false	La empresa de paquetería es un desastre, cero profesionalismo
true	Este producto es una joya, lo mejor que he comprado
true	La asistencia técnica fue rápida y muy competente
false	El producto es una decepción, no funciona como se prometió
false	La atención telefónica fue muy grosera y nada servicial
true	Definitivamente volveré a comprar aquí, un servicio impecable
true	El producto es ideal, justo lo que necesitaba para mi proyecto
false	Calidad pésima, se rompió en menos de un mes
false	El servicio de entrega fue horrible, mi paquete llegó mojado y roto
true	Excelente experiencia general, desde la compra hasta el unboxing
true	La empresa realmente se preocupa por sus clientes, un soporte ejemplar
false	No desperdicies tu dinero en esto, es una completa estafa
false	La logística de envío es caótica, nunca saben dónde están los paquetes
true	Estoy muy satisfecho con las características y el diseño
true	La interacción con el personal de soporte fue muy gratificante
false	El producto vino defectuoso y la empresa no ofrece solución
false	Me siento completamente ignorado por el servicio al cliente
true	Recomendaría este artículo sin dudarlo, es fantástico
true	El proceso de compra fue ágil y muy conveniente
false	La calidad de fabricación es terrible, no cumple ningún estándar
false	La entrega tardó demasiado y el producto que llegó no era el correcto
true	Muy buena comunicación durante todo el proceso
false	Me mandaron uno usado
true	Justo lo que buscaba para mi casa
false	Traía un defecto de fábrica
true	Todo salió bien, sin contratiempos
false	La aplicación no sirve, no carga
true	Me ofrecieron soluciones rápidas
false	Muy lento el servicio de atención
true	Me llegó antes de lo estimado
false	La entrega se retrasó sin explicación
true	El producto superó mis expectativas
false	Se rompió al primer uso
true	La atención fue excelente, muy atentos
false	No se parece a la foto
true	Volvería a comprar con esta tienda sin dudar
false	No incluye instrucciones
true	Recomendado al 100 por ciento
false	Una decepción total
true	Perfecto para regalo
false	No sirve para lo que dice
true	Respondieron mis consultas de inmediato
false	No contestan ni por correo
true	Me encantó, mejor de lo que imaginaba
false	Vino usado y rayado
true	Muy buena experiencia de compra en general
false	Todo mal, desde el pedido hasta la entrega
true	Producto excelente a buen precio
false	Muy caro para lo que es
true	Fue muy fácil hacer el pedido
false	La página se cayó cuando intenté pagar
true	Me sorprendió la calidad
false	No lo volveré a comprar
true	Buena atención postventa
false	El envío fue un desastre
true	La calidad es mucho mejor de lo que imaginaba
false	No me enviaron todo lo que pedí
true	Funciona sin fallas, lo uso todos los días
false	Vino con manchas y parecía usado
true	Excelente atención al cliente, resolvieron mi problema en minutos
false	Me ignoraron completamente cuando pedí ayuda
true	Llegó antes de tiempo y en perfecto estado
false	Tardaron más de dos semanas en entregarlo
true	Ideal para regalo, muy bien presentado
false	La descripción es engañosa
true	Su diseño es muy bonito y práctico
false	Me cobraron doble y no me devuelven el dinero
true	La caja venía bien sellada y protegida
false	El producto no corresponde con la imagen publicada
true	Se siente resistente y de buena calidad
false	El botón principal no responde
true	La app de seguimiento funcionó muy bien
false	El repartidor no quiso dejar el paquete si no estaba yo
true	Buena opción si estás buscando algo económico y funcional
false	Demasiado básico para el precio que tiene
true	Me atendieron con mucha amabilidad por teléfono
false	No tiene garantía a pesar de que lo dice
true	Fácil de usar y con materiales duraderos
false	El manual está en otro idioma
true	Muy buen embalaje, llegó todo en orden
false	Me llegó un producto completamente distinto
true	Volvería a comprarlo para regalar
false	Tuve que reclamar tres veces para que me respondan
true	Cumple con todo lo prometido
false	No trae el cargador
true	Ideal para uso diario
false	Las piezas no encajan bien
true	El soporte técnico fue muy eficiente
false	No me dieron solución al problema
true	Me encantó la presentación y el detalle del envoltorio
false	Llegó abierto y maltratado
true	Sin duda repetiré mi compra en esta tienda
false	No tiene las funciones que se indican
true	Producto recomendado por su buena calidad y precio
false	El plástico se siente barato
true	El software es intuitivo y fácil de usar, una maravilla
true	La atención por chat fue instantánea y muy útil
false	El producto es de un material tan frágil que se rompió al sacarlo de la caja
false	El servicio de instalación fue un desastre, nunca terminaron el trabajo
true	Estoy sorprendido con la potencia de este aparato, es increíble
true	La experiencia de compra online fue la mejor que he tenido
false	El repartidor fue grosero y lanzó el paquete sin cuidado
false	Este artículo es completamente diferente a la descripción, un engaño total
true	Una compra inteligente, la calidad es inmejorable por el precio
true	La respuesta del vendedor fue siempre rápida y atenta
false	La batería dura menos de lo que promete, estoy decepcionado
false	El servicio de entrega me dejó esperando todo el día sin aparecer
true	Recomendaré esta marca a todos mis amigos, la calidad es top
true	El soporte técnico me guió paso a paso y solucionó mi problema
false	El producto se ve muy usado, como si fuera de segunda mano
false	La política de garantía es confusa y no me dieron solución
true	La aplicación móvil funciona de maravilla, muy práctica
true	El personal de la tienda fue extremadamente amable y paciente
false	Mi pedido llegó con un error y no me lo quisieron cambiar
false	El producto no cumple con ninguna de mis expectativas, una decepción
true	Completamente satisfecho con mi compra, todo en orden
true	La instalación fue un juego de niños, muy sencillo
false	Nunca he tenido una experiencia tan mala al comprar en línea
false	El producto se estropeó en el primer uso, no es duradero
true	El diseño del producto es elegante y moderno, me encanta
true	La asistencia al cliente fue excelente, muy resolutivos
false	Esta empresa ha perdido mi confianza, no volveré a comprar
false	La publicidad es falsa, el producto no hace lo que dice
true	Una relación calidad-precio excelente, estoy muy feliz
true	El seguimiento del paquete fue preciso, siempre supe su ubicación
false	La entrega se retrasó varios días sin ninguna explicación
false	Me siento frustrado, el producto es defectuoso de fábrica
true	Superó todas mis expectativas, la calidad es superior
true	El equipo de atención fue muy empático y me brindó confianza
false	Imposible contactar con el servicio de atención, una pesadilla
false	El producto llegó sin manual de instrucciones, difícil de usar
true	Estoy feliz con mi adquisición, es justo lo que necesitaba
true	El proceso de compra fue muy rápido y sin complicaciones
false	Dinero tirado a la basura, una compra de la que me arrepiento
false	El repartidor dejó el paquete en casa del vecino sin avisar
true	La calidad de construcción es robusta, se siente muy duradero
true	Me ayudaron a resolver el problema en minutos, gran servicio
false	El color no es el de la foto, es muy diferente
false	La garantía es un engaño, no cubre defectos importantes
true	Gran producto, funciona a la perfección desde el primer momento
true	El chat de soporte es muy eficiente y me resolvió todo
false	La devolución fue un infierno, demasiados trámites
false	La talla del producto no coincide con la descripción
true	Estoy muy contento con el rendimiento de esta máquina
true	La mensajería es muy profesional, entregaron a tiempo y bien
false	El producto no duró nada, se descompuso rápidamente
false	El servicio de ensamblaje fue lento y dejó todo sucio
true	Me impresionó la resistencia del material, muy bueno
true	Comprar fue muy fácil, la plataforma es muy amigable
false	La descripción del producto es una exageración, no es así
false	El producto tiene un olor químico muy fuerte, desagradable
true	Lo recomiendo sin dudar, es una compra excelente
true	El envío llegó antes de lo esperado, un plus
false	No recibí ninguna respuesta de atención al cliente
false	El paquete llegó aplastado y el contenido dañado
true	Estoy feliz con mi nueva compra, cumple con todo
true	El personal de la tienda es muy atento y servicial
false	Una experiencia horrible, no volveré a comprar aquí
false	El producto no funciona y no hay forma de contactar para ayuda
true	Muy buena calidad y precio, una inversión que vale la pena
true	La entrega fue en el tiempo estimado y el repartidor fue cortés
false	El producto no es lo que ofrecen, es un fraude
false	El servicio de entrega fue lento y con poca comunicación
true	Un rendimiento sobresaliente, estoy muy satisfecho
true	La comunicación con el soporte técnico fue clara y efectiva
false	Este producto es una broma, no funciona en lo absoluto
false	El servicio de atención al cliente es ineficaz, no me ayudaron
true	La mejor compra del año, este producto es fantástico
true	El proceso de cambio fue sencillo y rápido
false	La calidad es ínfima, se rompió con solo mirarlo
false	El paquete se perdió en el envío y nunca lo recuperé
true	Muy buena experiencia, recomendaría esta tienda
true	El producto llegó antes de lo prometido, excelente
false	Atención al cliente inexistente, me siento abandonado
false	El producto es una porquería, no lo recomiendo para nada
true	Estoy muy contento con mi compra, salió todo perfecto
true	La atención fue excepcional, me sentí valorado
false	No hay palabras para lo mal que está este producto
false	El envío fue un caos, tardó semanas y llegó incompleto
true	Totalmente satisfecho, el producto cumplió todas mis expectativas
true	El servicio al cliente es de primera, siempre disponibles
false	Me siento timado, el producto no vale ni la mitad de lo que cuesta
false	La empresa de mensajería es la peor que he usado
true	Lo mejor que he comprado en mucho tiempo, una maravilla
true	La asistencia técnica fue rápida y muy competente
false	El producto es una decepción, no funciona como se anunció
false	La atención telefónica fue grosera y poco profesional
true	Sin duda volveré a comprar aquí, el servicio es impecable
true	El producto es perfecto, justo lo que necesitaba
false	Pésima calidad, no duró ni un mes de uso
false	El servicio de entrega fue horrible, mi paquete llegó mojado
true	Muy buena experiencia general, desde la compra hasta la post-venta
true	La empresa se preocupa por sus clientes, un soporte de 10
false	No malgastes tu dinero en esto, es una completa estafa
false	La logística de envío es un desastre, nunca saben dónde está
true	Estoy muy satisfecho con la funcionalidad y el diseño
true	La interacción con el equipo de soporte fue muy positiva
false	El producto es defectuoso y la empresa no ofrece solución
false	Me siento completamente ignorado por la atención al cliente
true	Recomendaría este producto a cualquiera, es magnífico
true	El proceso de compra fue muy sencillo y eficiente
false	La calidad de fabricación es terrible, no dura nada
false	La entrega tardó demasiado y el producto era incorrecto
true	Muy intuitivo y fácil de usar
false	El artículo venía incompleto
true	La entrega fue rápida y sin contratiempos
false	No me gustó nada la atención que recibí
true	Todo llegó como esperaba, bien protegido
false	Me estafaron, no era lo que anunciaban
true	Funciona perfecto, incluso mejor de lo que creía
false	No sirve, deja de funcionar al poco tiempo
true	El repartidor fue muy amable y puntual
false	La app no reconoce el código del producto
true	Lo uso a diario y nunca he tenido problemas
false	Se apagó solo después de una hora de uso
true	Muy útil, justo lo que necesitaba para mi trabajo
false	Vino con partes sueltas
true	Todo correcto desde la compra hasta la entrega
false	Hice la devolución y aún no tengo respuesta
true	Es tal como lo imaginaba, muy bueno
false	El pedido llegó con errores
true	Buena inversión, vale cada centavo
false	Pésimo, no funcionó ni una sola vez
true	Tienda confiable, volveré a comprar
false	No me dieron número de seguimiento
true	Producto nuevo, original y en buen estado
false	Lo abres y parece un juguete barato
true	El pedido fue gestionado de forma eficiente
false	Atención al cliente lenta y poco resolutiva
true	La experiencia fue bastante positiva
false	Se desconecta constantemente
true	Recibí justo lo que pedí, sin sorpresas
false	No puedo ni devolverlo, pésimo servicio
true	Todo muy bien, embalaje, producto y entrega
false	Me enviaron algo que ya estaba usado
true	Perfecto para quienes buscan calidad sin gastar mucho
false	La batería dura muy poco
true	Muy recomendable, llegó incluso antes de lo esperado
